Id,Label
1990627,ANESTHESIOLOGIST
1993878,ANNE
1995828,BETTY
1991691,BIGGS
1994598,CLEARING OFFICER
1992377,COP
1991398,COPELAND
1991203,CORONER
1994633,DESK CLERK
1990920,DETECTIVE KELLY
1990946,DETECTIVE ROSETTI
1992387,DISPATCHER
1994672,DRISCOLL
1995625,EMERGENCY OPERATOR
1995173,FORENSIC TECH
1991142,FORENSICS TECHNICIAN
1991678,GERARD
1994161,GLADYS
1991059,GUTHERIE
1992742,HEAD TROOPER
1990444,HELEN
1993414,KELLY
1990293,KIMBLE
1990394,LENTZ
1991012,MAN
1991999,NEWMAN
1990377,NICHOLS
1991480,OLD GUARD
1992864,OLDER WAITRESS
1994076,ORDERLY
1992243,PARAMEDIC #1
1992225,PARAMEDIC #2
1993482,PATIENT
1992456,PILOT
1996406,POLICE CAPTAIN
1996342,POLICE DISPATCHER
1991983,POOLE
1991371,PRISONER #1
1991173,PROSECUTOR
1992835,RECEPTIONIST
1992283,RENFRO
1990592,RESIDENT
1990359,RICHARD
1990281,ROBERTS
1995592,ROOSEVELT
1993551,SALESMAN
1995002,SECRETARY
1991737,SHERIFF
1993379,STEVENS
1990672,SURGEON
1995227,SYKES
1993824,TECHNICIAN
1996196,TRANSIT COP
1991713,TROOPER
1995641,WAHLUND
1993763,WOMAN DOCTOR
1992012,WORKER
1991379,YOUNG GUARD
